
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
C8:D7:19:30:E5:ED, 2016-07-17 01:16:55, 2016-07-17 01:19:27,  3,  54, WPA2 WPA, CCMP TKIP,PSK, -22,       42,        0,   0.  0.  0.  0,  10, LinkZ_2015, 
CE:D7:19:30:E5:ED, 2016-07-17 01:16:55, 2016-07-17 01:19:27,  3,  54, OPN, ,   , -22,       40,        0,   0.  0.  0.  0,   5, LinkZ, 
00:1D:D6:68:0E:B0, 2016-07-17 01:16:51, 2016-07-17 01:19:25,  1,  54, WPA2, CCMP TKIP,PSK, -31,       38,        0,   0.  0.  0.  0,   9, HOME-0EB2, 
80:37:73:CB:4A:3A, 2016-07-17 01:17:14, 2016-07-17 01:19:27,  4,  54, WPA2, CCMP,PSK, -70,       46,        0,   0.  0.  0.  0,  12, PraSan_2GEXT, 
FA:8F:CA:70:7A:A0, 2016-07-17 01:17:14, 2016-07-17 01:19:27,  4,  54, OPN, ,   , -75,       42,        0,   0.  0.  0.  0,   0, , 
38:3B:C8:E9:41:EA, 2016-07-17 01:18:33, 2016-07-17 01:19:27,  4,  54, WPA2 WPA, CCMP TKIP,PSK, -75,       18,        4,   0.  0.  0.  0,  10, ATT7wIS4vz, 
02:1D:D6:68:0E:B0, 2016-07-17 01:16:51, 2016-07-17 01:19:17,  1,  54, WPA2, CCMP,PSK, -29,       33,        0,   0.  0.  0.  0,   0, , 
B0:5A:DA:8F:21:02, 2016-07-17 01:17:14, 2016-07-17 01:19:15, 11,  54, WPA2, CCMP,PSK, -62,       27,        0,   0.  0.  0.  0,  30, HP-Print-02-Officejet Pro 8620, 
20:AA:4B:86:29:A8, 2016-07-17 01:16:52, 2016-07-17 01:19:18,  7,  54, WPA2 WPA, CCMP TKIP,PSK, -68,       26,        0,   0.  0.  0.  0,   7, garamoi, 
14:DD:A9:18:78:9A, 2016-07-17 01:17:14, 2016-07-17 01:19:15, 11,  54, OPN, ,   , -70,       21,        0,   0.  0.  0.  0,  11, xfinitywifi, 
14:DD:A9:18:78:99, 2016-07-17 01:17:14, 2016-07-17 01:19:15, 11,  54, WPA2 WPA, CCMP TKIP,PSK, -70,       27,        0,   0.  0.  0.  0,   0, , 
14:DD:A9:18:78:98, 2016-07-17 01:17:14, 2016-07-17 01:19:15, 11,  54, WPA2 WPA, CCMP TKIP,PSK, -70,       29,        0,   0.  0.  0.  0,   7, kris2.4, 
6C:70:9F:DE:FA:BC, 2016-07-17 01:17:14, 2016-07-17 01:19:15, 11,  54, WPA2, CCMP,PSK, -70,       28,        0,   0.  0.  0.  0,   5, Karma, 
C4:04:15:29:C4:D1, 2016-07-17 01:17:14, 2016-07-17 01:19:16, 11,  54, WPA2, CCMP,PSK, -74,       27,        3,   0.  0.  0.  0,   9, NETGEAR62, 
12:86:8C:3C:FC:28, 2016-07-17 01:17:14, 2016-07-17 01:19:16,  6,  54, WPA2 WPA, CCMP TKIP,PSK, -75,       18,        0,   0.  0.  0.  0,   0, , 
7E:8F:E0:09:BC:30, 2016-07-17 01:17:14, 2016-07-17 01:19:16,  6,  54, WPA2 WPA, CCMP TKIP,PSK, -77,       24,        0,   0.  0.  0.  0,   0, , 
5E:8F:E0:09:BC:30, 2016-07-17 01:17:14, 2016-07-17 01:19:16,  6,  54, WPA2 WPA, CCMP TKIP,PSK, -77,       26,        0,   0.  0.  0.  0,   0, , 
32:86:8C:3C:FC:28, 2016-07-17 01:17:14, 2016-07-17 01:19:16,  6,  54, WPA2 WPA, CCMP TKIP,PSK, -77,       24,        0,   0.  0.  0.  0,   0, , 
6E:8F:E0:09:BC:30, 2016-07-17 01:17:14, 2016-07-17 01:19:16,  6,  54, OPN, ,   , -77,       28,        0,   0.  0.  0.  0,  11, xfinitywifi, 
5C:8F:E0:09:BC:30, 2016-07-17 01:17:14, 2016-07-17 01:19:16,  6,  54, WPA2 WPA, CCMP TKIP,PSK, -77,       23,        1,   0.  0.  0.  0,   5, Tiger, 
3C:36:E4:F7:C2:60, 2016-07-17 01:17:14, 2016-07-17 01:19:15, 11,  54, WPA2 WPA, CCMP TKIP,PSK, -77,       14,        0,   0.  0.  0.  0,  12, AdhikariHome, 
4E:7A:8A:96:CE:CC, 2016-07-17 01:17:14, 2016-07-17 01:19:16,  6,  54, OPN, ,   , -77,       12,        0,   0.  0.  0.  0,  11, xfinitywifi, 
22:86:8C:3C:FC:28, 2016-07-17 01:17:14, 2016-07-17 01:19:16,  6,  54, OPN, ,   , -77,       22,        0,   0.  0.  0.  0,  11, xfinitywifi, 
